2021/1/1,27,28,30,28
2021/1/2,27,28,30,28
2021/1/3,27,28,30,28
2021/1/4,27,28,30,28
2021/1/5,27,28,30,28
2021/1/6,27,28,30,28
2021/1/7,27,28,30,28
2021/1/8,27,28,30,28
2021/1/9,27,28,30,28
2021/1/10,27,28,30,28
2021/1/11,27,28,30,28
2021/1/12,27,28,30,28
2021/1/13,27,28,30,28
2021/1/14,27,28,30,28
2021/1/15,27,28,30,28
2021/1/16,27,28,30,28
2021/1/17,27,28,30,28
2021/1/18,27,28,30,28
2021/1/19,27,28,30,28
2021/1/20,27,28,30,28
2021/1/21,27,28,30,28
2021/1/22,27,28,30,28
2021/1/23,27,28,30,28
2021/1/24,27,28,28,27
2021/1/25,27,28,30,28
2021/1/26,27,28,30,29
2021/1/27,27,28,30,29
2021/1/28,27,28,30,29
2021/1/29,27,28,30,29
2021/1/30,27,27,30,29
2021/1/31,27,27,30,29
2021/2/1,27,27,30,29
2021/2/2,27,27,30,29
2021/2/3,27,27,28,29
2021/2/4,27,27,28,29
2021/2/5,27,27,28,29
2021/2/6,27,27,28,29
2021/2/7,27,27,28,29
2021/2/8,27,27,28,29
2021/2/9,28,28,28,29
2021/2/10,28,28,28,29
2021/2/11,28,28,28,29
2021/2/12,28,28,28,29
2021/2/13,28,28,28,29
2021/2/14,28,28,28,29
2021/2/15,28,30,28,29
2021/2/16,28,28,28,29
2021/2/17,28,28,28,29
2021/2/18,28,27,28,29
2021/2/19,28,27,28,29
2021/2/20,28,27,28,29
2021/2/21,28,27,28,29
2021/2/22,26,26.5,28,25
2021/2/23,26,26.5,26,25
2021/2/24,26,26,26,25
2021/2/25,26,26,26,25
2021/2/26,26,26,26,25
2021/2/27,26,26,26,25
2021/2/28,26,26,26,25
2021/3/1,26,26,26,25
2021/3/2,26,26,26,25
2021/3/3,26,26,26,25
2021/3/4,26,26,26,25
2021/3/5,26,25,26,25
2021/3/6,26,25,26,25
2021/3/7,26,25,26,25
2021/3/8,26,25,25,25
2021/3/9,26,25,25,25
2021/3/10,26,24,25,25
2021/3/11,26,24,25,25
2021/3/12,26,24,25,25
2021/3/13,26,24,25,25
2021/3/14,26,24,25,24
2021/3/15,26,24,25,25
2021/3/16,26,24,25,25
2021/3/17,26,24,25,23
2021/3/18,26,24,25,23
2021/3/19,26,24,25,22
2021/3/20,26,24,25,24
2021/3/21,24,24,25,22
2021/3/22,23,24,25,22
2021/3/23,23,24,25,22
2021/3/24,23,24,25,22
2021/3/25,23,24,25,22
2021/3/26,23,24,25,22
2021/3/27,23,24,25,22
2021/3/28,23,24,25,22
2021/3/29,23,24,25,22
2021/3/30,23,23,25,22
2021/3/31,23,23,24,22
2021/4/1,23,22,24,22
2021/4/2,23,22,24,22
2021/4/3,23,22,24,22
2021/4/4,23,22,24,22
2021/4/5,23,22,24,20
2021/4/6,23,22,24,22
2021/4/7,23,21,23,22
2021/4/8,23,21,23,20
2021/4/9,23,21,23,20
2021/4/10,23,21,23,20
2021/4/11,19,21,23,20
2021/4/12,19,20,22,20
2021/4/13,19,20,22,20
2021/4/14,19,20,22,20
2021/4/15,22,21,22,20
2021/4/16,22,21,22,20
2021/4/17,22,21,22,20
2021/4/18,22,21,22,20
2021/4/19,22,21,22,20
2021/4/20,20,21,22,20
2021/4/21,20,21,22,20
2021/4/22,20,21,22,20
2021/4/23,20,21,22,20
2021/4/24,20,20,22,20
2021/4/25,20,19,22,20
2021/4/26,20,19,22,20
2021/4/27,20,19,22,20
2021/4/28,20,19,22,20
2021/4/29,20,19,22,20
2021/4/30,20,19,22,20
2021/5/1,20,19,22,20
2021/5/2,20,19,22,20
2021/5/3,20,19,22,20
2021/5/4,20,19,22,20
2021/5/5,20,19,22,20
2021/5/6,20,18,22,20
2021/5/7,20,18,22,20
2021/5/8,20,18,22,20
2021/5/9,20,18,22,20
2021/5/10,20,18,22,20
2021/5/11,20,18,22,20
2021/5/12,20,18,22,20
2021/5/13,20,18,22,20
2021/5/14,20,18,20,20
2021/5/15,20,18,20,20
2021/5/16,20,18,20,16
2021/5/17,20,18,20,16
2021/5/18,20,17,20,16
2021/5/19,20,17,20,16
2021/5/20,20,17,20,16
2021/5/21,20,17,20,16
2021/5/22,20,17,20,16
2021/5/23,18,17,20,16
2021/5/24,18,17,18,16
2021/5/25,18,17,18,15
2021/5/26,18,16,18,15
2021/5/27,18,16,18,15
2021/5/28,18,16,18,15
2021/5/29,18,16,15,18
2021/5/30,18,16,18,15
2021/5/31,18,16,18,15
2021/6/1,18,16,18,15
2021/6/2,18,16,18,15
2021/6/3,18,16,18,15
2021/6/4,18,15,18,15
2021/6/5,18,15,18,15
2021/6/6,18,15,16,15
2021/6/7,18,15,16,15
2021/6/8,18,15,16,15
2021/6/9,18,15,16,15
2021/6/10,18,15,16,15
2021/6/11,18,15,16,15
2021/6/12,18,15,16,15
2021/6/13,18,15,16,15
2021/6/14,18,15,16,15
2021/6/15,18,14,16,15
2021/6/16,18,14,16,15
2021/6/17,16,14,15,15
2021/6/18,16,13,15,14
2021/6/19,16,13,15,14
2021/6/20,13,15,14,15
2021/6/21,13,13,15,14
2021/6/22,13,13,15,14
2021/6/23,13,13,15,13
2021/6/24,13,13,15,13
2021/6/25,13,13,15,13
2021/6/26,13,13,15,13
2021/6/27,14,14,15,13
2021/6/28,14,15,15,13
2021/6/29,14,15,15,13
2021/6/30,14,15,15,14.5
2021/7/1,14,15,15,14.5
2021/7/2,14,15,15,14.5
2021/7/3,14,15,15,14
2021/7/4,14,15,15,14
2021/7/5,14,15,15,14
2021/7/6,14,15,15,14
2021/7/7,,,,
2021/7/8,,,,
2021/7/9,,,,
2021/7/10,,,,
2021/7/11,,,,
2021/7/12,,,,
2021/7/13,,,,
2021/7/14,,,,
2021/7/15,,,,
2021/7/16,,,,
2021/7/17,,,,
2021/7/18,,,,
2021/7/19,,,,
2021/7/20,,,,
2021/7/21,,,,
2021/7/22,,,,
2021/7/23,,,,
2021/7/24,,,,
2021/7/25,,,,
2021/7/26,,,,
2021/7/27,,,,
